"region_id","typhoon_no","mean","typhoon_name","year","order_key","ty_label"
5,"2019278N16165",0.491943083672478,"HAGIBIS",2019,511,"2019-HAGIBIS"
6,"2010218N20127",0.693887015176307,"DIANMU",2010,32,"2010-DIANMU"
6,"2012263N15141",0.841200333218016,"JELAWAT",2012,142,"2012-JELAWAT"
6,"2013255N20148",0.530305934664662,"MAN-YI",2013,194,"2013-MAN-YI"
6,"2014275N06166",0.50890279061306,"VONGFONG",2014,249,"2014-VONGFONG"
6,"2018239N11161",0.502115706279788,"JEBI",2018,452,"2018-JEBI"
6,"2018263N12146",0.491299640091898,"TRAMI",2018,457,"2018-TRAMI"
6,"2019278N16165",0.587158338756225,"HAGIBIS",2019,511,"2019-HAGIBIS"
7,"2011253N20145",2.40569499457427,"ROKE",2011,90,"2011-ROKE"
7,"2012162N06150",2.092239590168,"GUCHOL",2012,129,"2012-GUCHOL"
7,"2012263N15141",3.48654425007606,"JELAWAT",2012,142,"2012-JELAWAT"
7,"2013255N20148",2.7029541115269,"MAN-YI",2013,194,"2013-MAN-YI"
7,"2014275N06166",2.0508080817205,"VONGFONG",2014,249,"2014-VONGFONG"
7,"2016230N15138",3.82078086568048,"MINDULLE",2016,346,"2016-MINDULLE"
7,"2017288N09138",2.0127684505287,"LAN",2017,408,"2017-LAN"
7,"2018222N16147",1.2920198066598,"LEEPI",2018,449,"2018-LEEPI"
7,"2018263N12146",2.5925440121985,"TRAMI",2018,457,"2018-TRAMI"
7,"2019278N16165",2.40542852096097,"HAGIBIS",2019,511,"2019-HAGIBIS"
8,"2011253N20145",6.14349769480356,"ROKE",2011,90,"2011-ROKE"
8,"2012162N06150",4.38545962070142,"GUCHOL",2012,129,"2012-GUCHOL"
8,"2012263N15141",3.88458261596555,"JELAWAT",2012,142,"2012-JELAWAT"
8,"2013255N20148",4.34135362211532,"MAN-YI",2013,194,"2013-MAN-YI"
8,"2013282N14149",3.13364453349152,"WIPHA",2013,198,"2013-WIPHA"
8,"2014275N06166",10.0578583083295,"VONGFONG",2014,249,"2014-VONGFONG"
8,"2016230N15138",6.5469689736007,"MINDULLE",2016,346,"2016-MINDULLE"
8,"2017288N09138",5.34304386208626,"LAN",2017,408,"2017-LAN"
8,"2018222N16147",2.209505082192,"LEEPI",2018,449,"2018-LEEPI"
8,"2018263N12146",3.20787712375815,"TRAMI",2018,457,"2018-TRAMI"
8,"2019242N14180",3.01922243410718,"FAXAI",2019,506,"2019-FAXAI"
8,"2019278N16165",4.54739156807817,"HAGIBIS",2019,511,"2019-HAGIBIS"
9,"2011253N20145",2.78941645718553,"ROKE",2011,90,"2011-ROKE"
9,"2012162N06150",3.04655172309746,"GUCHOL",2012,129,"2012-GUCHOL"
9,"2012263N15141",3.2403874182124,"JELAWAT",2012,142,"2012-JELAWAT"
9,"2013255N20148",2.92921551102665,"MAN-YI",2013,194,"2013-MAN-YI"
9,"2013282N14149",1.48001066486381,"WIPHA",2013,198,"2013-WIPHA"
9,"2014275N06166",4.46242653295068,"VONGFONG",2014,249,"2014-VONGFONG"
9,"2016230N15138",1.66963368822202,"MINDULLE",2016,346,"2016-MINDULLE"
9,"2017288N09138",2.70870485080873,"LAN",2017,408,"2017-LAN"
9,"2018263N12146",2.94354665407491,"TRAMI",2018,457,"2018-TRAMI"
9,"2019278N16165",2.26719832767976,"HAGIBIS",2019,511,"2019-HAGIBIS"
10,"2011253N20145",1.72008378043799,"ROKE",2011,90,"2011-ROKE"
10,"2012162N06150",1.73655962801351,"GUCHOL",2012,129,"2012-GUCHOL"
10,"2012263N15141",2.18211520974987,"JELAWAT",2012,142,"2012-JELAWAT"
10,"2013255N20148",1.75809421519045,"MAN-YI",2013,194,"2013-MAN-YI"
10,"2014275N06166",2.95952267411215,"VONGFONG",2014,249,"2014-VONGFONG"
10,"2016230N15138",0.891811446602595,"MINDULLE",2016,346,"2016-MINDULLE"
10,"2017252N14147",0.952357233238987,"TALIM",2017,402,"2017-TALIM"
10,"2017288N09138",1.81503889877149,"LAN",2017,408,"2017-LAN"
10,"2018263N12146",1.95396918247065,"TRAMI",2018,457,"2018-TRAMI"
10,"2019278N16165",1.26940633136829,"HAGIBIS",2019,511,"2019-HAGIBIS"
11,"2011253N20145",-0.650989416361714,"ROKE",2011,90,"2011-ROKE"
11,"2012162N06150",-0.532317558918783,"GUCHOL",2012,129,"2012-GUCHOL"
11,"2012263N15141",-0.54502025093666,"JELAWAT",2012,142,"2012-JELAWAT"
11,"2013255N20148",-0.539403810754924,"MAN-YI",2013,194,"2013-MAN-YI"
11,"2013282N14149",-0.325209482959013,"WIPHA",2013,198,"2013-WIPHA"
11,"2014275N06166",-3.51598887273,"VONGFONG",2014,249,"2014-VONGFONG"
11,"2016230N15138",-0.345462261060655,"MINDULLE",2016,346,"2016-MINDULLE"
11,"2017288N09138",-0.641568919514179,"LAN",2017,408,"2017-LAN"
11,"2018263N12146",-0.429940750560113,"TRAMI",2018,457,"2018-TRAMI"
11,"2019242N14180",-0.290352171505938,"FAXAI",2019,506,"2019-FAXAI"
11,"2019278N16165",-0.464662636830955,"HAGIBIS",2019,511,"2019-HAGIBIS"
12,"2011253N20145",9.82844236696189,"ROKE",2011,90,"2011-ROKE"
12,"2012162N06150",5.75372173873741,"GUCHOL",2012,129,"2012-GUCHOL"
12,"2012263N15141",5.86815465951507,"JELAWAT",2012,142,"2012-JELAWAT"
12,"2013255N20148",6.3537330649849,"MAN-YI",2013,194,"2013-MAN-YI"
12,"2013282N14149",5.81346520579455,"WIPHA",2013,198,"2013-WIPHA"
12,"2014275N06166",11.7252226598146,"VONGFONG",2014,249,"2014-VONGFONG"
12,"2016230N15138",7.75691249078068,"MINDULLE",2016,346,"2016-MINDULLE"
12,"2017288N09138",11.008322556632,"LAN",2017,408,"2017-LAN"
12,"2018222N16147",3.53879431174223,"LEEPI",2018,449,"2018-LEEPI"
12,"2018263N12146",4.5879403498958,"TRAMI",2018,457,"2018-TRAMI"
12,"2019242N14180",6.39565088154924,"FAXAI",2019,506,"2019-FAXAI"
12,"2019278N16165",8.93355650972565,"HAGIBIS",2019,511,"2019-HAGIBIS"
13,"2011253N20145",10.5025027531121,"ROKE",2011,90,"2011-ROKE"
13,"2012162N06150",6.78188069174686,"GUCHOL",2012,129,"2012-GUCHOL"
13,"2012263N15141",6.85934922264156,"JELAWAT",2012,142,"2012-JELAWAT"
13,"2013255N20148",7.41876031037839,"MAN-YI",2013,194,"2013-MAN-YI"
13,"2013282N14149",4.91063601149643,"WIPHA",2013,198,"2013-WIPHA"
13,"2014275N06166",0.552467407647999,"VONGFONG",2014,249,"2014-VONGFONG"
13,"2016230N15138",5.28421750924062,"MINDULLE",2016,346,"2016-MINDULLE"
13,"2017288N09138",10.6558339008123,"LAN",2017,408,"2017-LAN"
13,"2018263N12146",5.65148391028039,"TRAMI",2018,457,"2018-TRAMI"
13,"2019242N14180",5.39987786166398,"FAXAI",2019,506,"2019-FAXAI"
13,"2019278N16165",7.78134784051038,"HAGIBIS",2019,511,"2019-HAGIBIS"
14,"2011253N20145",9.73418639492637,"ROKE",2011,90,"2011-ROKE"
14,"2012162N06150",5.62736034645924,"GUCHOL",2012,129,"2012-GUCHOL"
14,"2012263N15141",6.04466796259063,"JELAWAT",2012,142,"2012-JELAWAT"
14,"2013255N20148",6.27086431304767,"MAN-YI",2013,194,"2013-MAN-YI"
14,"2013282N14149",4.53744960734794,"WIPHA",2013,198,"2013-WIPHA"
14,"2014275N06166",4.6006398472253,"VONGFONG",2014,249,"2014-VONGFONG"
14,"2016230N15138",4.307704307406,"MINDULLE",2016,346,"2016-MINDULLE"
14,"2017252N14147",2.89882023517165,"TALIM",2017,402,"2017-TALIM"
14,"2017288N09138",9.71443730155159,"LAN",2017,408,"2017-LAN"
14,"2018263N12146",4.77972191351968,"TRAMI",2018,457,"2018-TRAMI"
14,"2019242N14180",4.85283591655058,"FAXAI",2019,506,"2019-FAXAI"
14,"2019278N16165",7.12311788513131,"HAGIBIS",2019,511,"2019-HAGIBIS"
15,"2012263N15141",0.150280645029293,"JELAWAT",2012,142,"2012-JELAWAT"
15,"2017200N26162",0.135344357907055,"NORU",2017,397,"2017-NORU"
15,"2018239N11161",0.183927135007998,"JEBI",2018,452,"2018-JEBI"
15,"2019278N16165",0.135817963222045,"HAGIBIS",2019,511,"2019-HAGIBIS"
16,"2011253N20145",-0.0989389960886748,"ROKE",2011,90,"2011-ROKE"
16,"2013255N20148",-0.101056586646051,"MAN-YI",2013,194,"2013-MAN-YI"
16,"2014209N12152",-0.0911906354902938,"HALONG",2014,241,"2014-HALONG"
16,"2014275N06166",-0.126314853122612,"VONGFONG",2014,249,"2014-VONGFONG"
16,"2015249N18142",-0.101145712982278,"ETAU",2015,297,"2015-ETAU"
16,"2017200N26162",-0.101514799462239,"NORU",2017,397,"2017-NORU"
16,"2017252N14147",-0.138101035527057,"TALIM",2017,402,"2017-TALIM"
16,"2017288N09138",-0.0942883018924449,"LAN",2017,408,"2017-LAN"
16,"2018239N11161",-0.183988576131809,"JEBI",2018,452,"2018-JEBI"
16,"2018263N12146",-0.0844410255836044,"TRAMI",2018,457,"2018-TRAMI"
17,"2011253N20145",0.434995546645689,"ROKE",2011,90,"2011-ROKE"
