"region_id","typhoon_no","typhoon_name","year","ty_label","mean","lower","upper"
29,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",0.474363617726727,0.0111187419327466,0.997917550231991
29,"2018239N11161","JEBI",2018,"2018-JEBI",1.84145855732619,-0.188867333389937,4.00904473163248
29,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.676320090679391,0.0158111647526118,1.42518072143144
29,"2019216N16147","KROSA",2019,"2019-KROSA",0.429767508332833,0.0100808658818618,0.903669123993503
30,"2011192N18158","MA-ON",2011,"2011-MA-ON",-0.122064188482937,-0.910029226132828,0.707360662855213
30,"2011236N15143","TALAS",2011,"2011-TALAS",-0.093579959541372,-0.69670874067335,0.539421776670592
30,"2011253N20145","ROKE",2011,"2011-ROKE",-0.194772407205826,-1.08717847519609,0.759675431369539
30,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",-0.124823854920917,-0.931264570440389,0.725326252154078
30,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",-0.126628278069305,-0.944426710116793,0.734916196626236
30,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",-0.110852379500331,-0.826550235546034,0.642713196702112
30,"2014209N12152","HALONG",2014,"2014-HALONG",-0.0955727554255448,-0.711907800280046,0.551993416079869
30,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.237537147765339,-1.51911720719234,1.97392572839473
30,"2015188N08194","HALOLA",2015,"2015-HALOLA",-0.0827053482492336,-0.615518315347208,0.476054141938533
30,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",-0.112463695662602,-0.83915893461202,0.653828824863937
30,"2017200N26162","NORU",2017,"2017-NORU",-0.105875397536445,-0.789523954683148,0.614106843921188
30,"2017252N14147","TALIM",2017,"2017-TALIM",-0.154156863820522,-1.15445758430989,0.90871785367114
30,"2017288N09138","LAN",2017,"2017-LAN",-0.0884341270448496,-0.658625960797428,0.510442652361155
30,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",-0.0772522870478298,-0.574951077034752,0.444714382164403
30,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",-0.116324133467346,-0.86863578799743,0.678274973963585
30,"2018239N11161","JEBI",2018,"2018-JEBI",0.736111776868548,-1.67461909203237,3.04319061580545
30,"2018263N12146","TRAMI",2018,"2018-TRAMI",-0.125843721946517,-0.939957304508399,0.734483405442928
30,"2019216N16147","KROSA",2019,"2019-KROSA",-0.0853178717902547,-0.635610657717229,0.493034102951006
31,"2010243N12146","MALOU",2010,"2010-MALOU",0.0382770149272812,-0.203870037878842,0.322022156408365
31,"2013274N18152","DANAS",2013,"2013-DANAS",0.0453520685858646,-0.240692328145717,0.381220660162228
31,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.0345681494332919,-0.184366633133724,0.290914035378475
31,"2015188N08194","HALOLA",2015,"2015-HALOLA",0.0366234666189665,-0.194953066046452,0.308069622829012
31,"2015226N12151","GONI",2015,"2015-GONI",0.0314689284289983,-0.167841248303025,0.264833558689856
31,"2016269N15165","CHABA",2016,"2016-CHABA",0.0407689615560403,-0.216712279733813,0.34282495218711
31,"2017252N14147","TALIM",2017,"2017-TALIM",0.0324740834255099,-0.172996954857116,0.273215372517272
31,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.0349250411704429,-0.185854426300018,0.29376112025742
31,"2018239N11161","JEBI",2018,"2018-JEBI",0.0303506714909398,-0.161879891886604,0.255423728472127
31,"2019216N16147","KROSA",2019,"2019-KROSA",0.524900562201429,-0.140102174122386,1.28308574645834
31,"2019260N20129","TAPAH",2019,"2019-TAPAH",0.0426520360251893,-0.22586517233586,0.358337998832282
32,"2010218N20127","DIANMU",2010,"2010-DIANMU",0.0553831076005677,-0.360535268267219,0.506589238790549
32,"2010243N12146","MALOU",2010,"2010-MALOU",0.0653396701091208,-0.423362146041692,0.596805929623415
32,"2013274N18152","DANAS",2013,"2013-DANAS",0.0933230028185805,-0.595681194606196,0.848542457914982
32,"2015226N12151","GONI",2015,"2015-GONI",0.0727143641534632,-0.467746881134864,0.662705396732893
32,"2016269N15165","CHABA",2016,"2016-CHABA",0.0718450364660654,-0.462874709715125,0.655091526646606
32,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.0507462913388664,-0.329786022905081,0.463933294432971
32,"2019216N16147","KROSA",2019,"2019-KROSA",0.0630133126848945,-0.405972394807529,0.574561826433573
32,"2019260N20129","TAPAH",2019,"2019-TAPAH",0.0881183096141854,-0.559483366293437,0.79994552101995
33,"2011192N18158","MA-ON",2011,"2011-MA-ON",-0.415349692339668,-1.62934992441694,0.741778061206838
33,"2011236N15143","TALAS",2011,"2011-TALAS",-0.342704542733342,-1.34481087867421,0.610875840060275
33,"2013274N18152","DANAS",2013,"2013-DANAS",-0.275586351447311,-1.08183659266412,0.490161119174843
33,"2014209N12152","HALONG",2014,"2014-HALONG",-0.337250618296872,-1.32331508619286,0.601404562891575
33,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",-0.357459223747832,-1.40250064060289,0.637734154822126
33,"2015188N08194","HALOLA",2015,"2015-HALOLA",-0.395722884092702,-1.55205013251757,0.707548980093837
33,"2016256N12146","MALAKAS",2016,"2016-MALAKAS",-0.262915430236833,-1.03204397622522,0.467761942606994
33,"2017252N14147","TALIM",2017,"2017-TALIM",-0.330102845354094,-1.29499756368939,0.589381440235665
33,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",-0.419031209768232,-1.64307280409807,0.75028350023089
33,"2018226N23128","RUMBIA",2018,"2018-RUMBIA",-0.278791904296071,-1.09413562163597,0.496617834189726
33,"2018239N11161","JEBI",2018,"2018-JEBI",-0.264597935591301,-1.63949309122752,1.0735520255816
33,"2018263N12146","TRAMI",2018,"2018-TRAMI",-0.314813001110654,-1.2353194790478,0.561270312283645
33,"2019216N16147","KROSA",2019,"2019-KROSA",-0.490588535067837,-1.92213202187281,0.882542444136025
33,"2019260N20129","TAPAH",2019,"2019-TAPAH",-0.264711292677375,-1.03886719707708,0.471557591964892
34,"2011192N18158","MA-ON",2011,"2011-MA-ON",-0.267375662664741,-2.59072833605454,2.07534214538045
34,"2011236N15143","TALAS",2011,"2011-TALAS",-0.261609252146058,-2.53620235802823,2.0333943271016
34,"2013274N18152","DANAS",2013,"2013-DANAS",-0.294975225759004,-2.86759388057404,2.30924646316781
34,"2014209N12152","HALONG",2014,"2014-HALONG",-0.221526411622016,-2.14396702905824,1.71423565406388
34,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",-0.269926097280708,-2.61905156786562,2.10266835328111
34,"2015226N12151","GONI",2015,"2015-GONI",-0.248966821634778,-2.41484533077311,1.93764525646617
34,"2016269N15165","CHABA",2016,"2016-CHABA",-0.226033803673141,-2.18816122378127,1.75030662354033
34,"2017252N14147","TALIM",2017,"2017-TALIM",-0.22212315297748,-2.15267189758064,1.72496535948654
34,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",-0.261138880095337,-2.53455097271865,2.03580300096352
34,"2018263N12146","TRAMI",2018,"2018-TRAMI",-0.229173527680419,-2.22027801390766,1.77821223988935
34,"2019216N16147","KROSA",2019,"2019-KROSA",-0.330321656433196,-3.22629770213099,2.61735647161379
34,"2019260N20129","TAPAH",2019,"2019-TAPAH",-0.2872465111368,-2.79986787744405,2.26416726914536
35,"2013274N18152","DANAS",2013,"2013-DANAS",0.508558016391022,-0.583059336421297,1.72674824337801
35,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.392913062736991,-0.452260928398339,1.33251905601522
35,"2015226N12151","GONI",2015,"2015-GONI",0.60515678768523,-0.690973656173749,2.05724773351466
35,"2016269N15165","CHABA",2016,"2016-CHABA",0.368434458987949,-0.42425323336306,1.24935549263259
35,"2018204N15137","JONGDARI",2018,"2018-JONGDARI",0.374542290681863,-0.430945560951052,1.27036532995698
35,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.325587005563858,-0.375193598322134,1.10381637815744
35,"2019216N16147","KROSA",2019,"2019-KROSA",0.376169443589025,-0.432302991803699,1.27633557590268
